ImageName,Latitude,Longitude,Height,angle0,angle1,angle2,angle3
2018.01.06_I0-0_DC_NUCF_1426.tiff,54.7820216667,11.8527616667,98.1000000000,-0.16,-0.20,0.16,-320.58
2018.01.06_I0-0_DC_NUCF_1432.tiff,54.7820583333,11.8527083333,98.0000000000,0.04,0.15,0.10,-319.87
2018.01.06_I0-0_DC_NUCF_1438.tiff,54.7820966667,11.8526533333,98.0000000000,0.18,0.17,0.08,-319.47
2018.01.06_I0-0_DC_NUCF_1444.tiff,54.7821350000,11.8526000000,98.0000000000,0.04,-0.16,0.14,-320.78
2018.01.06_I0-0_DC_NUCF_1450.tiff,54.7821733333,11.8525483333,98.0000000000,0.12,-0.10,-0.10,-320.78
2018.01.06_I0-0_DC_NUCF_1451.tiff,54.7822250000,11.8524733333,98.1000000000,-0.06,0.09,0.09,-319.86
2018.01.06_I0-0_DC_NUCF_1457.tiff,54.7822650000,11.8524183333,98.2000000000,-0.13,-0.18,0.20,-320.54
2018.01.06_I0-0_DC_NUCF_1463.tiff,54.7823033333,11.8523666667,98.3000000000,-0.05,0.19,-0.11,-320.77
2018.01.06_I0-0_DC_NUCF_1469.tiff,54.7823400000,11.8523116667,98.3000000000,0.06,0.04,-0.08,-319.14
2018.01.06_I0-0_DC_NUCF_1475.tiff,54.7823783333,11.8522566667,98.2000000000,0.09,0.06,-0.08,-320.37
2018.01.06_I0-0_DC_NUCF_1476.tiff,54.7824216667,11.8521966667,98.2000000000,0.11,-0.14,-0.05,-320.49
2018.01.06_I0-0_DC_NUCF_1482.tiff,54.7824600000,11.8521450000,98.3000000000,0.08,0.00,0.14,-320.21
2018.01.06_I0-0_DC_NUCF_1488.tiff,54.7824966667,11.8520916667,98.3000000000,0.17,-0.01,0.17,-319.82
2018.01.06_I0-0_DC_NUCF_1494.tiff,54.7825350000,11.8520366667,98.4000000000,0.05,0.15,0.12,-319.88
2018.01.06_I0-0_DC_NUCF_1500.tiff,54.7825733333,11.8519816667,98.5000000000,-0.16,-0.12,-0.12,-320.41
2018.01.06_I0-0_DC_NUCF_1501.tiff,54.7826250000,11.8519066667,98.6000000000,0.16,-0.05,0.01,-320.02
2018.01.06_I0-0_DC_NUCF_1507.tiff,54.7826650000,11.8518500000,98.6000000000,0.09,0.06,0.13,-320.55
2018.01.06_I0-0_DC_NUCF_1513.tiff,54.7827033333,11.8517933333,98.6000000000,0.14,-0.04,0.18,-319.62
2018.01.06_I0-0_DC_NUCF_1519.tiff,54.7827416667,11.8517350000,98.7000000000,-0.10,-0.20,0.03,-319.89
2018.01.06_I0-0_DC_NUCF_1525.tiff,54.7827816667,11.8516783333,98.9000000000,-0.04,0.00,-0.01,-319.6
2018.01.06_I0-0_DC_NUCF_1526.tiff,54.7828366667,11.8515983333,99.0000000000,-0.18,-0.15,-0.14,-320.06
2018.01.06_I0-0_DC_NUCF_1533.tiff,54.7828800000,11.8515350000,99.0000000000,-0.17,-0.03,-0.01,-319.2
2018.01.06_I0-0_DC_NUCF_1539.tiff,54.7829183333,11.8514783333,99.1000000000,-0.15,-0.02,0.16,-318.72
2018.01.06_I0-0_DC_NUCF_1545.tiff,54.7829566667,11.8514200000,99.2000000000,0.11,-0.09,-0.05,-319.73
2018.01.06_I0-0_DC_NUCF_1551.tiff,54.7830366667,11.8513050000,98.9000000000,0.05,-0.15,-0.17,-320.64
2018.01.06_I0-0_DC_NUCF_1557.tiff,54.7830750000,11.8512483333,98.7000000000,-0.08,-0.18,-0.02,-319.87
2018.01.06_I0-0_DC_NUCF_1563.tiff,54.7831133333,11.8511933333,98.4000000000,-0.11,-0.12,-0.01,-320.33
2018.01.06_I0-0_DC_NUCF_1569.tiff,54.7831516667,11.8511383333,98.4000000000,-0.14,0.02,-0.04,-319.62
2018.01.06_I0-0_DC_NUCF_1575.tiff,54.7831900000,11.8510816667,98.5000000000,-0.08,-0.19,-0.18,-320.67
